file_id,category,prompt,stage2_clip_score,stage1_clip_score,eval_prompt
n02691156_10718-8,airplane,A photo of a airplane,30.5908203125,30.126953125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_11016-2,airplane,A photo of a airplane,30.56640625,29.1015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_11257-3,airplane,A photo of a airplane,28.7353515625,28.857421875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_11286-2,airplane,A photo of a airplane,29.00390625,28.7109375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_1182-3,airplane,A photo of a airplane,29.3701171875,28.3935546875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_12022-8,airplane,A photo of a airplane,27.5146484375,26.3916015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_12181-6,airplane,A photo of a airplane,30.4443359375,29.6875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_12619-4,airplane,A photo of a airplane,27.44140625,27.1484375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_1270-3,airplane,A photo of a airplane,30.3466796875,30.46875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_14875-2,airplane,A photo of a airplane,26.26953125,27.880859375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_14875-6,airplane,A photo of a airplane,28.7109375,28.41796875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_1512-1,airplane,A photo of a airplane,31.34765625,30.126953125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_1692-2,airplane,A photo of a airplane,29.931640625,29.1259765625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_1692-3,airplane,A photo of a airplane,26.953125,26.2939453125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_1917-2,airplane,A photo of a airplane,27.490234375,27.0263671875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_196-3,airplane,A photo of a airplane,29.345703125,28.662109375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_2084-1,airplane,A photo of a airplane,28.369140625,27.783203125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_2084-6,airplane,A photo of a airplane,27.4169921875,26.8798828125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_2173-2,airplane,A photo of a airplane,29.1748046875,28.7841796875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_2289-1,airplane,A photo of a airplane,29.248046875,28.759765625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_2289-5,airplane,A photo of a airplane,26.806640625,25.927734375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_2377-4,airplane,A photo of a airplane,28.8330078125,28.1494140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_24584-1,airplane,A photo of a airplane,27.44140625,27.2705078125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_24584-4,airplane,A photo of a airplane,28.857421875,28.61328125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_24584-6,airplane,A photo of a airplane,28.7841796875,27.9541015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_24584-8,airplane,A photo of a airplane,26.2939453125,27.0751953125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_2838-5,airplane,A photo of a airplane,28.076171875,27.392578125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_3231-4,airplane,A photo of a airplane,29.1748046875,27.9541015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_32417-6,airplane,A photo of a airplane,28.173828125,27.4658203125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_35496-6,airplane,A photo of a airplane,28.8330078125,27.24609375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_36810-1,airplane,A photo of a airplane,27.4169921875,27.9052734375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_3791-2,airplane,A photo of a airplane,28.6376953125,28.369140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_3854-6,airplane,A photo of a airplane,28.80859375,28.41796875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_4000-4,airplane,A photo of a airplane,31.7138671875,30.6396484375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_4134-1,airplane,A photo of a airplane,26.123046875,25.9521484375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_43250-2,airplane,A photo of a airplane,28.1982421875,26.708984375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_43250-7,airplane,A photo of a airplane,29.2236328125,28.1494140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_5181-3,airplane,A photo of a airplane,29.931640625,29.7119140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_5181-4,airplane,A photo of a airplane,29.7119140625,29.39453125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_53586-2,airplane,A photo of a airplane,28.857421875,28.6865234375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_542-1,airplane,A photo of a airplane,27.3193359375,28.9794921875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_5583-10,airplane,A photo of a airplane,29.9072265625,30.078125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_573-1,airplane,A photo of a airplane,29.638671875,30.029296875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_5740-2,airplane,A photo of a airplane,30.029296875,28.466796875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_58-5,airplane,A photo of a airplane,28.02734375,27.587890625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_5813-4,airplane,A photo of a airplane,29.6875,28.41796875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_5873-7,airplane,A photo of a airplane,30.029296875,29.6142578125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6013-4,airplane,A photo of a airplane,30.4443359375,30.56640625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6013-5,airplane,A photo of a airplane,28.4423828125,28.4912109375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6120-2,airplane,A photo of a airplane,27.1484375,26.9775390625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6408-2,airplane,A photo of a airplane,28.6865234375,27.9052734375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6408-5,airplane,A photo of a airplane,28.369140625,27.7099609375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6525-2,airplane,A photo of a airplane,29.541015625,29.443359375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6732-1,airplane,A photo of a airplane,28.5400390625,28.2958984375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6732-5,airplane,A photo of a airplane,27.4658203125,27.294921875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6784-2,airplane,A photo of a airplane,27.9296875,27.9541015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6784-5,airplane,A photo of a airplane,27.6123046875,26.1474609375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_6910-2,airplane,A photo of a airplane,28.80859375,28.564453125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7027-3,airplane,A photo of a airplane,31.0791015625,30.6640625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7371-3,airplane,A photo of a airplane,29.4189453125,28.369140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7384-3,airplane,A photo of a airplane,28.076171875,26.611328125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7384-5,airplane,A photo of a airplane,28.41796875,27.9541015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7472-1,airplane,A photo of a airplane,27.490234375,26.4404296875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7472-4,airplane,A photo of a airplane,29.58984375,29.1015625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7476-1,airplane,A photo of a airplane,29.00390625,28.9794921875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7476-4,airplane,A photo of a airplane,24.609375,25.1708984375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7476-5,airplane,A photo of a airplane,29.296875,29.4921875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7639-2,airplane,A photo of a airplane,29.8095703125,29.1748046875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_7692-2,airplane,A photo of a airplane,29.736328125,28.662109375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8226-4,airplane,A photo of a airplane,28.5888671875,28.1982421875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8408-7,airplane,A photo of a airplane,27.6123046875,27.34375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8813-2,airplane,A photo of a airplane,29.4677734375,28.22265625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8813-3,airplane,A photo of a airplane,29.248046875,27.685546875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8813-5,airplane,A photo of a airplane,25.1953125,25.29296875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8876-1,airplane,A photo of a airplane,29.0771484375,29.4189453125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8876-6,airplane,A photo of a airplane,27.392578125,28.1005859375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_8937-4,airplane,A photo of a airplane,29.1259765625,28.3447265625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9058-6,airplane,A photo of a airplane,25.1708984375,24.15771484375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9099-8,airplane,A photo of a airplane,28.369140625,28.369140625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9245-2,airplane,A photo of a airplane,27.34375,26.9775390625,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9245-5,airplane,A photo of a airplane,29.5166015625,29.3701171875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9664-2,airplane,A photo of a airplane,29.2724609375,28.3203125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9664-3,airplane,A photo of a airplane,28.564453125,27.734375,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_987-1,airplane,A photo of a airplane,30.95703125,30.810546875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_987-3,airplane,A photo of a airplane,28.8330078125,28.173828125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_987-4,airplane,A photo of a airplane,29.6875,28.5888671875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9916-5,airplane,A photo of a airplane,27.5390625,27.6611328125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9966-4,airplane,A photo of a airplane,28.80859375,27.294921875,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02691156_9966-5,airplane,A photo of a airplane,27.001953125,26.0986328125,"A high-quality, realistic photograph of a airplane, based on the description: A photo of a airplane, with natural lighting, sharp details, and accurate colors."
n02694662_10014-3,alarm_clock,A photo of a alarm clock,31.0546875,30.8349609375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_10127-6,alarm_clock,A photo of a alarm clock,35.3271484375,35.5712890625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_10207-2,alarm_clock,A photo of a alarm clock,28.4912109375,28.3935546875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_10207-6,alarm_clock,A photo of a alarm clock,30.224609375,30.0048828125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_10474-4,alarm_clock,A photo of a alarm clock,31.15234375,31.1767578125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_10651-1,alarm_clock,A photo of a alarm clock,34.3505859375,34.9609375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_10749-2,alarm_clock,A photo of a alarm clock,30.9326171875,31.1767578125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_1079-1,alarm_clock,A photo of a alarm clock,30.224609375,29.443359375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_1079-3,alarm_clock,A photo of a alarm clock,29.19921875,29.2236328125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_10865-1,alarm_clock,A photo of a alarm clock,30.5419921875,29.78515625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_11382-3,alarm_clock,A photo of a alarm clock,31.103515625,31.2744140625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_11495-5,alarm_clock,A photo of a alarm clock,33.642578125,33.6669921875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_11810-1,alarm_clock,A photo of a alarm clock,30.517578125,30.76171875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12133-1,alarm_clock,A photo of a alarm clock,31.591796875,31.4453125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12141-6,alarm_clock,A photo of a alarm clock,30.126953125,30.9814453125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12254-4,alarm_clock,A photo of a alarm clock,29.9072265625,29.5654296875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12254-6,alarm_clock,A photo of a alarm clock,32.1044921875,32.32421875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12296-5,alarm_clock,A photo of a alarm clock,32.0556640625,32.1044921875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12410-2,alarm_clock,A photo of a alarm clock,33.447265625,35.1318359375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12410-3,alarm_clock,A photo of a alarm clock,32.2509765625,31.4697265625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12693-1,alarm_clock,A photo of a alarm clock,33.88671875,35.3759765625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_12693-2,alarm_clock,A photo of a alarm clock,30.9326171875,31.93359375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_13095-4,alarm_clock,A photo of a alarm clock,30.3955078125,30.078125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_13333-3,alarm_clock,A photo of a alarm clock,35.05859375,34.716796875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_13495-2,alarm_clock,A photo of a alarm clock,34.47265625,34.6923828125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_13950-3,alarm_clock,A photo of a alarm clock,33.984375,33.3251953125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_13950-7,alarm_clock,A photo of a alarm clock,34.7412109375,35.3759765625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_13990-3,alarm_clock,A photo of a alarm clock,30.908203125,32.0068359375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_14321-2,alarm_clock,A photo of a alarm clock,31.982421875,31.3720703125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_14553-7,alarm_clock,A photo of a alarm clock,32.861328125,33.7890625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_14901-5,alarm_clock,A photo of a alarm clock,29.736328125,29.4677734375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_14927-2,alarm_clock,A photo of a alarm clock,29.736328125,29.4921875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_14927-3,alarm_clock,A photo of a alarm clock,31.005859375,31.8603515625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_14927-6,alarm_clock,A photo of a alarm clock,30.419921875,29.736328125,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_15253-1,alarm_clock,A photo of a alarm clock,30.4443359375,30.1025390625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_15253-3,alarm_clock,A photo of a alarm clock,30.37109375,30.419921875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_16350-5,alarm_clock,A photo of a alarm clock,35.05859375,35.1806640625,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_16405-1,alarm_clock,A photo of a alarm clock,31.6650390625,31.201171875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_16405-4,alarm_clock,A photo of a alarm clock,32.666015625,32.177734375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_16456-5,alarm_clock,A photo of a alarm clock,34.4482421875,34.2529296875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_16632-2,alarm_clock,A photo of a alarm clock,30.2001953125,29.3701171875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_16632-4,alarm_clock,A photo of a alarm clock,30.2978515625,30.1513671875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_17391-1,alarm_clock,A photo of a alarm clock,28.1982421875,28.466796875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_17391-2,alarm_clock,A photo of a alarm clock,34.27734375,33.935546875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_17391-3,alarm_clock,A photo of a alarm clock,32.32421875,32.6171875,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
n02694662_2751-1,alarm_clock,A photo of a alarm clock,33.8623046875,35.3271484375,"A high-quality, realistic photograph of a alarm_clock, based on the description: A photo of a alarm clock, with natural lighting, sharp details, and accurate colors."
